Berufliche Grundbildung: Lehrvertragsauflösung,,,,,,
Eintrittskohorte 2012: Bildungsverläufe bis 31.12.2016,,,,,,
zurück zum Inhalt,,,,,,
,,,,,,
,,,,,,
"Tabelle 5: LVA-Quote, vertrags- und personenbezogen nach Standardausbildungsdauer, Staatsangehörigkeit und Geburtsland",,,,,,
Standardausbildungsdauer,Staatsangehörigkeit und Geburtsland,Total Lernende,Anzahl LVA insgesamt,Vertragsbezogene LVA-Quote,Anzahl Lernende mit mindestens einer LVA,Personenbezogene LVA-Quote
Gesamte Eintrittskohorte,Total,60’458,15’007,24.8,12’508,20.7
,Lernende schweizerischer Staatsangehörigkeit,49’718,11’581,23.3,9’668,19.4
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",5’792,1’694,29.2,1’414,24.4
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",4’906,1’712,34.9,1’411,28.8
,Unbekannt,42,20,47.6,15,35.7
Eintrittskohorte EBA (2 Jahre),Total,4’706,1’256,26.7,1’052,22.4
,Lernende schweizerischer Staatsangehörigkeit,2’848,753,26.4,637,22.4
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",843,228,27,185,21.9
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",1’000,272,27.2,227,22.7
,Unbekannt,15,3,20,3,20
Eintrittskohorte EFZ 3 Jahre,Total,41’431,9’964,24,8’293,20
,Lernende schweizerischer Staatsangehörigkeit,34’275,7’732,22.6,6’423,18.7
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",3’983,1’132,28.4,956,24
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",3’157,1’090,34.5,907,28.7
,Unbekannt,16,10,62.5,7,43.8
Eintrittskohorte EFZ 4 Jahre,Total,14’321,3’787,26.4,3’163,22.1
,Lernende schweizerischer Staatsangehörigkeit,12’595,3’096,24.6,2’608,20.7
,"Lernende ausländischer Staatsangehörigkeit, in CH geboren",966,334,34.6,273,28.3
,"Lernende ausländischer Staatsangehörigkeit, im Ausland geboren",749,350,46.7,277,37
,Unbekannt,11,7,63.6,5,45.5
