0
""
Switzerland
Italy
United States of America
France
Germany
Liechtenstein
Austria
Canada
Sweden
South Africa
Denmark
Great Britain and Northern Ireland
Australia
Egypt
Kenya
Netherlands
Yugoslavia
Spain
Brazil
Argentina
PapuaNew Guinea
Israel
Unknown
Colombia
Finland
Japan
New Zealand
Norway
Belgium
Philippines
Venezuela
Indonesia
Singapore
Lebanon
China
Thailand
Mexico
Hungary
Russia
Greece
Bahamas
Ivory Coast
Mauritius
Burkina Faso
Hongkong
Albania
Poland
Czech Republic
Slovakia
India
Latvia
Slovenia
Bulgaria
Romania
Lithuania
Ukraine
Estonia
Taiwan
Turkey
Madagascar
Burundi
Korean Republic (South Korea)
Cuba
Vatican State
Iceland
Morocco
Armenia
Belarus
Uzbekistan
Georgia
Kazakstan
Bosnia-Hercegovina
Iran
Namibia
Croatia
Kyrgyzstan
Macedonia
Moldova
Ireland
Barbados
Chile
Gambia
Uganda
Zambia
Mongolia
Portugal
Tonga
Paraguay
Sri Lanka
Peru
Cyprus
Tunisia
Ecuador
Panama
Nepal
Tajikistan
Serbia and Montenegro
Cameroon
Ghana
Syria
Costa Rica
Bolivia
Campuchea
Vietnam
Rwanda
Tanzania
Jordan
Congo Democratic Republic (formerly Zaire)
Ethiopia
Luxembourg
Niger
Malta
British Virgin Islands
"Congo, Republic"
